county,TotalCasesPer100K,TotalDeathsPer100K,NewPoverty
"Camden, New Jersey",926472.4185707911,36592.06725688655,13.169232048783162
"Camden, North Carolina",442898.60681114555,7459.3653250774,8.985061919504645
"Cameron, Pennsylvania",325368.1110643669,7172.9070256626,14.406310475389148
"Cameron, Texas",1315829.091315823,51498.687532871176,31.27009550191456
"Camp, Texas",967687.4506708761,28839.77900552486,17.40798737174428
"Campbell, Kentucky",676199.2941484031,6855.910417846717,14.199159078035816
"Campbell, South Dakota",1019057.519057519,20997.920997921,4.7
"Campbell, Tennessee",822235.3354760949,10569.003615910004,20.63867768179992
"Campbell, Virginia",515167.3374669133,4904.093694477682,11.675715218100729
"Campbell, Wyoming",923356.0561975227,7315.653836561643,9.34072657743786
"Canadian, Oklahoma",1029265.2833992868,5363.29576744256,7.9076285340274755
"Candler, Georgia",1127740.040389205,51615.56820268038,31.52849274830182
"Cannon, Tennessee",1169954.4764795143,10506.539489847532,17.03047908085844
"Canyon, Idaho",1428897.1969839684,15072.4301661136,17.247542108034217
"Cape Girardeau, Missouri",1216695.9352928358,17354.799841052132,18.276857703203312
"Cape May, New Jersey",584717.9769220193,31211.32957514093,10.568469259325852
"Carbon, Montana",816959.6789604434,7576.915727116377,9.941448499904451
"Carbon, Pennsylvania",575987.309922328,22657.727350868143,12.832539422070107
"Carbon, Utah",592857.8393135725,3495.514820592824,16.32972893915757
"Carbon, Wyoming",779896.742940914,10669.896105551661,13.372350054178083
"Caribou, Idaho",986476.245992422,17050.422617312735,9.4
"Carlisle, Kentucky",819222.9038854806,6053.169734151329,17.436257668711654
"Carlton, Minnesota",805351.8978761862,9444.193402620876,12.227838341617714
"Caroline, Maryland",703904.2244929083,5917.340247064207,16.550495653500075
"Caroline, Virginia",514734.5177155475,6065.776707149787,12.222068319448628
"Carroll, Arkansas",1033294.9391692462,15815.99596861277,15.776927507018932
"Carroll, Georgia",1003932.1833278213,20236.20950756323,18.959606781667212
"Carroll, Illinois",1078250.8161044614,26557.39934711643,11.353856093579978
"Carroll, Indiana",824512.3537061118,14494.348304491346,10.218845653696109
"Carroll, Iowa",1519933.4247111809,18352.261601723127,10.274309770902684
"Carroll, Kentucky",773136.9798971482,11547.452080411407,27.67798036465638
"Carroll, Maryland",491244.2699275038,23540.661849520977,5.537015521249828
"Carroll, Mississippi",1411945.9935427064,38655.70883475198,13.889961843263867
"Carroll, Missouri",898439.7799977551,17095.072398697946,18.46558536311595
"Carroll, New Hampshire",237690.43009847656,1136.267990909856,9.249114131807088
"Carroll, Ohio",486591.1949685535,8650.494159928123,14.82283917340521
"Carroll, Tennessee",1243085.616803497,25151.93517432562,19.806006326189717
"Carroll, Virginia",722148.6881445897,22931.434138475495,14.585181576914032
"Carson City, Nevada",941786.0897471367,13853.077334513733,14.644877257050112
